"Id","TimeCreated","Message"
"4625","2026-06-10 09:00:01","An account failed to log on. Account Name: alice Source Network Address: 10.0.0.55 Logon Type: 3"
"4625","2026-06-10 09:00:05","An account failed to log on. Account Name: alice Source Network Address: 10.0.0.55 Logon Type: 3"
"4625","2026-06-10 09:00:09","An account failed to log on. Account Name: alice Source Network Address: 10.0.0.55 Logon Type: 3"
"4625","2026-06-10 09:00:12","An account failed to log on. Account Name: alice Source Network Address: 10.0.0.55 Logon Type: 3"
"4625","2026-06-10 09:00:16","An account failed to log on. Account Name: alice Source Network Address: 10.0.0.55 Logon Type: 3"
"4624","2026-06-10 09:01:00","An account was successfully logged on. Account Name: alice Source Network Address: 10.0.0.55 Logon Type: 10"
"4648","2026-06-10 09:02:00","A logon was attempted using explicit credentials. Account Name: alice Source Network Address: 10.0.0.55 Logon Type: 3 WMI"
"5140","2026-06-10 09:02:20","A network share object was accessed. Account Name: alice Source Network Address: 10.0.0.55 Share Name: \\fileserver\ADMIN$"
"7045","2026-06-10 09:03:00","A service was installed in the system. Account Name: alice Source Network Address: 10.0.0.55 Service Name: PSEXESVC"
"1102","2026-06-10 09:04:00","The audit log was cleared. Account Name: alice Source Network Address: 10.0.0.55 Logon Type: 3"
